City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,miyaly,48.8844,53.7836,25.140000000000043,48,4,3.21,KZ,1688523881
1,jamestown,42.097,-79.2353,21.80000000000001,86,0,3.6,US,1688523652
2,rawson,-43.3002,-65.1023,9.57000000000005,40,0,10.21,AR,1688523882
3,bredy,52.4153,60.3411,19.260000000000048,81,4,4.79,RU,1688523882
4,port-aux-francais,-49.35,70.2167,4.520000000000039,76,100,12.74,TF,1688523882
5,albany,42.6001,-73.9662,21.230000000000018,92,10,1.85,US,1688523641
6,ushuaia,-54.8,-68.3,1.8100000000000023,75,0,1.03,AR,1688523590
7,avarua,-21.2078,-159.775,25.03000000000003,78,100,3.6,CK,1688523634
8,margaret river,-33.95,115.0667,12.580000000000041,64,95,9.3,AU,1688523883
9,los altos,37.3852,-122.1141,24.78000000000003,66,0,7.2,US,1688523883
10,papatowai,-46.5619,169.4708,8.060000000000002,78,97,9.44,NZ,1688523655
11,aioun,16.6614,-9.6149,34.23000000000002,38,37,6.88,MR,1688523884
12,st. john's,47.5649,-52.7093,20.660000000000025,98,100,6.17,CA,1688523692
13,arraial do cabo,-22.9661,-42.0278,20.060000000000002,67,3,6.32,BR,1688523689
14,kapuskasing,49.4169,-82.4331,26.0,65,20,2.57,CA,1688523674
15,tulln,48.3283,16.0586,20.760000000000048,79,65,0.97,AT,1688523885
16,passagem franca,-6.1797,-43.7836,27.02000000000004,39,43,3.57,BR,1688523885
17,nema,57.5067,50.5011,16.689999999999998,73,6,0.83,RU,1688523885
18,qaqortoq,60.7167,-46.0333,4.82000000000005,88,80,3.45,GL,1688523681
19,olonkinbyen,70.9221,-8.7187,4.140000000000043,95,100,8.3,SJ,1688523644
20,puerto natales,-51.7236,-72.4875,-1.2799999999999727,88,100,2.03,CL,1688523672
21,strugi-krasnyye,58.2675,29.1114,10.5,98,51,3.2,RU,1688523886
22,zima,53.9202,102.0442,15.060000000000002,95,100,5.68,RU,1688523886
23,anar darah,32.7587,61.654,26.75,19,0,15.2,AF,1688523887
24,bengkulu,-3.8004,102.2655,25.920000000000016,84,54,1.64,ID,1688523484
25,hermanus,-34.4187,19.2345,6.560000000000002,75,64,4.21,ZA,1688523640
26,adamstown,-25.066,-130.1015,20.810000000000002,68,7,3.96,PN,1688523630
27,gaiman,-43.2897,-65.4929,9.020000000000039,37,0,10.72,AR,1688523888
28,port mathurin,-19.6833,63.4167,23.390000000000043,67,48,10.85,MU,1688523652
29,afaahiti,-17.75,-149.2833,27.930000000000007,80,70,7.42,PF,1688523700
30,norton,-17.8833,30.7,8.220000000000027,83,28,0.84,ZW,1688523671
31,sitka,57.0531,-135.33,14.939999999999998,77,100,7.72,US,1688523717
32,tura,25.5198,90.2201,27.170000000000016,87,73,1.91,IN,1688523635
33,laguna,38.421,-121.4238,34.14000000000004,43,0,4.63,US,1688523889
34,waitangi,-43.9535,-176.5597,7.680000000000007,71,100,4.92,NZ,1688523633
35,emerald,-23.5333,148.1667,23.52000000000004,57,17,3.13,AU,1688523890
36,vernon,50.2581,-119.2691,29.78000000000003,28,47,0.0,CA,1688523752
37,mount isa,-20.7333,139.5,19.870000000000005,56,39,1.54,AU,1688523713
38,invercargill,-46.4,168.35,8.490000000000009,74,100,7.48,NZ,1688523645
39,port elizabeth,-33.918,25.5701,12.160000000000025,81,40,4.63,ZA,1688523665
40,lospalos,-8.5186,127.0025,24.810000000000002,81,100,4.38,TL,1688523891
41,edinburgh of the seven seas,-37.0676,-12.3116,12.03000000000003,86,99,9.16,SH,1688523632
